scenario,leverage,n_trades,initial_capital,final_capital,compounded_return_pct,max_drawdown_between_trades_pct,any_leveraged_return_le_minus_100pct
reset_before_rebalance,1.8,88,100.0,708.1651766022527,608.1651766022527,-65.56242889570105,False
rebalance_before_reset,1.8,97,100.0,500.470114274553,400.470114274553,-61.32545048646778,False
