scenario,stop_equity_pct,equivalent_spy_threshold_pct,final_equity,compounded_return_pct,daily_max_drawdown_pct,closed_trade_max_drawdown_pct,number_of_stops,number_of_trades
reset_before_rebalance,no_stop,,708.1651766022526,608.1651766022526,-79.51547348936549,-65.56242889570105,0,88
reset_before_rebalance,1.0,-0.5555555555555556,251.3955257497146,151.3955257497146,-44.09693181032148,-39.56000904954281,64,88
reset_before_rebalance,2.0,-1.1111111111111112,376.13262878297934,276.13262878297934,-52.55938151247924,-48.70924539703094,55,88
reset_before_rebalance,3.0,-1.6666666666666665,337.83934977874327,237.83934977874327,-59.76632060570542,-56.50107771823991,50,88
reset_before_rebalance,5.0,-2.7777777777777777,341.33282170225374,241.3328217022537,-72.08096325268865,-69.71895240097433,34,88
reset_before_rebalance,7.0,-3.888888888888889,475.7426684354419,375.7426684354419,-70.00612730097502,-67.46858084329297,22,88
reset_before_rebalance,10.0,-5.555555555555555,418.15800733694914,318.15800733694914,-74.29164080325256,-72.11665805037036,12,88
reset_before_rebalance,15.0,-8.333333333333334,464.12409271756417,364.12409271756417,-79.19050247312965,-77.42997400568805,5,88
reset_before_rebalance,20.0,-11.11111111111111,396.7094000892809,296.7094000892809,-82.88930343683646,-80.70830277356096,4,88
rebalance_before_reset,no_stop,,500.4701142745529,400.4701142745529,-78.09359629559974,-61.32545048646778,0,97
rebalance_before_reset,1.0,-0.5555555555555556,242.7161729640927,142.71617296409272,-37.405676417947134,-34.21438655301201,69,97
rebalance_before_reset,2.0,-1.1111111111111112,319.2873956424669,219.2873956424669,-47.621386343038985,-43.37049757836516,60,97
rebalance_before_reset,3.0,-1.6666666666666665,279.6027826149018,179.6027826149018,-55.57848071592629,-51.97336549712526,55,97
rebalance_before_reset,5.0,-2.7777777777777777,257.3781527054868,157.3781527054868,-69.89092659230778,-67.44736589210035,40,97
rebalance_before_reset,7.0,-3.888888888888889,352.4336573212435,252.43365732124352,-66.31587311173007,-63.46612317369622,25,97
rebalance_before_reset,10.0,-5.555555555555555,295.51804103223174,195.51804103223174,-71.12864877563436,-68.68607006087358,14,97
rebalance_before_reset,15.0,-8.333333333333334,328.0029086355297,228.0029086355297,-76.63023504133808,-74.65310241552541,6,97
rebalance_before_reset,20.0,-11.11111111111111,280.3600139575687,180.3600139575687,-80.78411280984663,-78.33477577950173,4,97
