Date,Close,daily_return,position,gross_return,net_return_0bps,equity_0bps,transition,net_return_5bps,equity_5bps,net_return_10bps,equity_10bps,net_return_25bps,equity_25bps
2000-01-03,145.4375,,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-04,139.75,-0.03910614525139666,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-05,140.0,0.0017889087656528524,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-06,137.75,-0.016071428571428625,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-07,145.75,0.05807622504537213,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-10,146.25,0.0034305317324185847,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-11,144.5,-0.011965811965811923,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-12,143.0625,-0.009948096885813107,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-13,145.0,0.013543031891655843,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-14,146.96875,0.01357758620689653,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-18,145.8125,-0.007867318732723838,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-19,147.0,0.008144020574367694,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-20,144.75,-0.015306122448979553,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-21,144.4375,-0.0021588946459413227,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-24,140.34375,-0.028342708784076187,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-25,141.9375,0.011356045424181671,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-26,140.8125,-0.00792602377807139,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-27,140.25,-0.003994673768308976,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-28,135.875,-0.031194295900178304,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-01-31,139.5625,0.027138914443422202,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-01,140.9375,0.009852216748768461,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-02,141.0625,0.0008869179600887733,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-03,143.1875,0.015064244572441376,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-04,142.59375,-0.0041466608467918276,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-07,142.375,-0.0015340784571553634,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-08,144.3125,0.013608428446005183,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-09,141.28125,-0.021004763967085283,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-10,141.5625,0.001990710019907027,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-11,138.6875,-0.020309050772626902,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-14,139.5,0.005858494817485349,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-15,141.07813,0.011312759856630716,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-16,139.0,-0.014730348353780953,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-17,138.28125,-0.005170863309352569,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-18,135.3125,-0.021468926553672274,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-22,134.96875,-0.0025404157043880105,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-23,136.5625,0.011808288955776902,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-24,133.8125,-0.020137299771167072,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-25,133.32813,-0.003619766464269092,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-28,136.125,0.02097734364083559,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-02-29,137.4375,0.009641873278236845,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-01,138.4375,0.007276034561164213,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-02,138.53125,0.0006772009029345494,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-03,141.125,0.018723212271599454,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-06,139.75,-0.009743135518157642,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-07,137.04688,-0.01934254025044735,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-08,136.875,-0.001254169376201708,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-09,140.875,0.029223744292237397,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-10,140.125,-0.0053238686779059075,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-13,138.59375,-0.010927743086529884,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-14,136.625,-0.014205186020293081,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-15,139.8125,0.02333028362305578,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-16,146.34375,0.046714349575324166,,,,100000.0,False,,100000.0,,100000.0,,100000.0
2000-03-17,146.9375,0.0040572282724749,0.0,0.0,0.0,100000.0,False,0.0,100000.0,0.0,100000.0,0.0,100000.0
2000-03-20,146.1875,-0.005104210974053558,0.0,-0.0,-0.0,100000.0,False,-0.0,100000.0,-0.0,100000.0,-0.0,100000.0
2000-03-21,149.1875,0.02052159042325785,1.0,0.02052159042325785,0.02052159042325785,102052.15904232579,True,0.02027159042325785,102027.15904232577,0.02002159042325785,102002.15904232579,0.01927159042325785,101927.15904232579
2000-03-22,150.09375,0.006074570590699713,1.0,0.006074570590699713,0.006074570590699713,102672.08208636171,False,0.006074570590699713,102646.93022209693,0.006074570590699713,102621.77835783217,0.006074570590699713,102546.32276503788
2000-03-23,152.65625,0.017072662919008996,1.0,0.017072662919008996,0.017072662919008996,104424.967935015,False,0.017072662919008996,104399.38666144981,0.017072662919008996,104373.8053878847,0.017072662919008996,104297.06156718927
2000-03-24,153.5625,0.005936540429887449,1.0,0.005936540429887449,0.005936540429887449,105044.89097905089,False,0.005936540429887449,105019.15784122095,0.005936540429887449,104993.42470339108,0.005936540429887449,104916.22528990137
2000-03-27,151.9375,-0.010582010582010581,1.0,-0.010582010582010581,-0.010582010582010581,103933.30483112443,False,-0.010582010582010581,103907.84400163131,-0.010582010582010581,103882.38317213827,-0.010582010582010581,103806.00068365902
2000-03-28,151.0625,-0.005758946935417564,1.0,-0.005758946935417564,-0.005758946935417564,103334.75844377941,False,-0.005758946935417564,103309.44424185227,-0.005758946935417564,103284.1300399252,-0.005758946935417564,103208.18743414391
2000-03-29,151.21875,0.0010343400910219902,1.0,0.0010343400910219902,0.0010343400910219902,103441.64172723389,False,0.0010343400910219902,103416.30134181281,0.0010343400910219902,103390.96095639182,0.0010343400910219902,103314.93980012876
2000-03-30,148.6875,-0.01673899566026038,1.0,-0.01673899566026038,-0.01673899566026038,101710.1325352715,False,-0.01673899566026038,101685.21632245202,-0.01673899566026038,101660.30010963263,-0.01673899566026038,101585.55147117435
2000-03-31,150.375,0.011349306431273742,1.0,0.011349306431273742,0.011349306431273742,102864.47199657976,False,0.011349306431273742,102839.27300202589,0.011349306431273742,102814.07400747211,0.011349306431273742,102738.47702381063
2000-04-03,151.25,0.005818786367414841,1.0,0.005818786367414841,0.005818786367414841,103463.01838392478,False,0.005818786367414841,103437.67276180493,0.005818786367414841,103412.32713968518,0.005818786367414841,103336.29027332574
2000-04-04,150.125,-0.007438016528925617,1.0,-0.007438016528925617,-0.007438016528925617,102693.4587430526,False,-0.007438016528925617,102668.30164208902,-0.007438016528925617,102643.14454112553,-0.007438016528925617,102567.67323823489
2000-04-05,149.1875,-0.0062447960033306105,1.0,-0.0062447960033306105,-0.0062447960033306105,102052.15904232579,False,-0.0062447960033306105,102027.15904232576,-0.0062447960033306105,102002.15904232582,-0.0062447960033306105,101927.15904232583
2000-04-06,150.48438,0.008692953498114608,1.0,0.008692953498114608,0.008692953498114608,102939.29371526292,False,0.008692953498114608,102914.07639142545,0.008692953498114608,102888.85906758804,0.008692953498114608,102813.20709607571
2000-04-07,151.4375,0.006333680611901427,1.0,0.006333680611901427,0.006333680611901427,103591.2783240701,False,0.006333680611901427,103565.90128175756,0.006333680611901427,103540.52423944509,0.006333680611901427,103464.39311250752
2000-04-10,150.84375,-0.003920759389187012,1.0,-0.003920759389187012,-0.003920759389187012,103185.1218469431,False,-0.003920759389187012,103159.8443019075,-0.003920759389187012,103134.56675687194,-0.003920759389187012,103058.73412176511
2000-04-11,150.40625,-0.002900352185622568,1.0,-0.002900352185622568,-0.002900352185622568,102885.8486532706,False,-0.002900352185622568,102860.64442201798,-0.002900352185622568,102835.44019076541,-0.002900352185622568,102759.82749700756
2000-04-12,146.28125,-0.027425722002908826,1.0,-0.027425722002908826,-0.027425722002908826,100064.12997007264,False,-0.027425722002908826,100039.61698305968,-0.027425722002908826,100015.10399604672,-0.027425722002908826,99941.56503500776
2000-04-13,144.25,-0.013885921811578772,1.0,-0.013885921811578772,-0.013885921811578772,98674.64728516455,False,-0.013885921811578772,98650.47468357263,-0.013885921811578772,98626.30208198068,-0.013885921811578772,98553.78427720483
2000-04-14,136.0,-0.05719237435008662,1.0,-0.05719237435008662,-0.05719237435008662,93031.20991876867,False,-0.05719237435008662,93008.419805656,-0.05719237435008662,92985.62969254333,-0.05719237435008662,92917.25935320526
2000-04-17,140.75,0.03492647058823528,0.0,0.0,0.0,93031.20991876867,True,-0.00025,92985.16770070458,-0.0005,92939.13687769706,-0.00125,92801.11277901375
2000-04-18,144.46875,0.026420959147424483,0.0,0.0,0.0,93031.20991876867,False,0.0,92985.16770070458,0.0,92939.13687769706,0.0,92801.11277901375
2000-04-19,143.125,-0.009301319489508963,0.0,-0.0,-0.0,93031.20991876867,False,-0.0,92985.16770070458,-0.0,92939.13687769706,-0.0,92801.11277901375
2000-04-20,143.8125,0.004803493449781593,0.0,0.0,0.0,93031.20991876867,False,0.0,92985.16770070458,0.0,92939.13687769706,0.0,92801.11277901375
2000-04-24,142.25,-0.010864841373316003,1.0,-0.010864841373316003,-0.010864841373316003,92020.44058023358,True,-0.011114841373316003,91951.65231164006,-0.011364841373316004,91882.89832970913,-0.012114841373316003,91676.8420184288
2000-04-25,148.15625,0.041520210896309306,1.0,0.041520210896309306,0.041520210896309306,95841.14867989617,False,0.041520210896309306,95769.50430788347,0.041520210896309306,95697.8956461228,0.041520210896309306,95483.28383334159
2000-04-26,146.48438,-0.011284505378612142,1.0,-0.011284505378612142,-0.011284505378612142,94759.62872212552,False,-0.011284505378612142,94688.79282141414,-0.011284505378612142,94617.99222798226,-0.011284505378612142,94405.80220335671
2000-04-27,146.0,-0.0033067006871312365,1.0,-0.0033067006871312365,-0.0033067006871312365,94446.28699271777,False,-0.0033067006871312365,94375.68532512794,-0.0033067006871312365,94305.11884806701,-0.0033067006871312365,94093.63047234168
2000-04-28,145.09375,-0.0062071917808219634,1.0,-0.0062071917808219634,-0.0062071917808219634,93860.04077636742,False,-0.0062071917808219634,93789.87734686835,-0.0062071917808219634,93719.74888946387,-0.0062071917808219634,93509.57326264607
2000-05-01,147.0625,0.013568813267283986,1.0,0.013568813267283986,0.013568813267283986,95133.6101429216,False,0.013568813267283986,95062.49467894949,0.013568813267283986,94991.41466160174,0.013568813267283986,94778.38720095032
2000-05-02,144.125,-0.01997450063748407,1.0,-0.01997450063748407,-0.01997450063748407,93233.36378647566,False,-0.01997450063748407,93163.66881838399,-0.01997450063748407,93094.00858888806,-0.01997450063748407,92885.23624538523
2000-05-03,140.75,-0.02341717259323506,1.0,-0.02341717259323506,-0.02341717259323506,91050.1020152399,False,-0.02341717259323506,90982.03910624489,-0.02341717259323506,90914.01012236596,-0.02341717259323506,90710.12663686363
