decision_date,last_bar_used,n_bars,n_obs,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,confidence_pass,raw_decision,previous_raw_decision,decision_changed,transition_type,error
2000-12-26,2000-12-22,248,238,1,0,1,1.0,0.8385025487635397,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-12-27,2000-12-26,249,239,2,1,2,1.0,0.3237013676620245,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-01-02,2000-12-29,252,242,1,1,2,0.6983033677458437,0.8289085164123968,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2001-01-03,2001-01-02,253,243,0,0,2,0.5956925124722909,0.3502937042775017,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2001-01-04,2001-01-03,254,244,2,1,2,0.48311923568645254,0.9999592094415289,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-01-05,2001-01-04,255,245,1,0,2,0.9016293496334278,0.39184758880124265,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-02-20,2001-02-16,285,275,0,0,2,1.0,0.5256217819036003,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2001-02-21,2001-02-20,286,276,0,0,1,1.0,0.4699794060873148,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2001-02-22,2001-02-21,287,277,0,0,2,0.7094830613015467,0.5403092170104333,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2001-02-23,2001-02-22,288,278,1,1,2,0.3374814364603922,0.30544095581201197,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2001-02-27,2001-02-26,290,280,2,0,2,1.0,0.5736850307194589,True,bull,neutral,True,NEUTRAL_TO_BULL,
2001-02-28,2001-02-27,291,281,1,2,1,0.8566052567295028,0.23335769230027378,False,neutral,bull,True,BULL_TO_NEUTRAL,
2001-03-20,2001-03-19,305,295,1,2,1,1.0,0.5404139225392592,True,bull,neutral,True,NEUTRAL_TO_BULL,
