decision_date,last_bar_used,n_bars,n_obs,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,confidence_pass,raw_decision,previous_raw_decision,decision_changed,transition_type,error
2000-03-16,2000-03-15,51,41,1,2,0,1.0,0.45750444131096124,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-03-22,2000-03-21,55,45,1,0,1,0.9998936010005677,0.5937937425819064,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-03-23,2000-03-22,56,46,2,0,1,0.8367367171761394,0.29187020637889205,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-03-24,2000-03-23,57,47,2,1,0,0.9999999998133567,0.6069957099323892,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-03-28,2000-03-27,59,49,1,0,2,0.9999999999575919,0.2376296980656242,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-03-31,2000-03-30,62,52,2,2,1,0.4618517941896655,0.6399119249637464,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-04-03,2000-03-31,63,53,0,2,1,0.49077241110842357,0.32552499637666615,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-04-14,2000-04-13,72,62,2,2,1,0.46080465397142895,0.5176704167816171,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-04-18,2000-04-17,74,64,1,2,1,0.7595839973501999,0.4811722727834946,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-04-19,2000-04-18,75,65,1,2,1,0.7542400515746875,0.6159912560709495,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-04-20,2000-04-19,76,66,1,2,1,0.8637676769005224,0.3711337234030319,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-05-11,2000-05-10,90,80,0,0,1,0.4166671960341251,0.7578222250970794,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-05-12,2000-05-11,91,81,0,2,1,0.9993468556122704,0.1656878440318522,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-05-19,2000-05-18,96,86,0,1,2,1.0,0.5014407776504929,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-05-22,2000-05-19,97,87,1,0,2,0.5052028315657866,0.283716360973024,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-06-09,2000-06-08,110,100,0,0,1,0.9610816159967301,0.6826166014795632,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-06-14,2000-06-13,113,103,1,1,0,0.39105108661856575,0.1407868078451835,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-06-27,2000-06-26,122,112,1,0,2,0.9903087798804318,0.5143915988251239,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-06-28,2000-06-27,123,113,1,0,2,0.9772024059158405,0.23271373147526955,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-07-21,2000-07-20,139,129,0,1,2,1.0,0.5102100180457775,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-07-25,2000-07-24,141,131,0,1,2,1.0,0.15069085938114365,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-09-05,2000-09-01,170,160,1,0,2,1.0,0.500094260686154,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-09-06,2000-09-05,171,161,1,0,2,1.0,0.4127931068382829,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-09-12,2000-09-11,175,165,0,2,1,0.9743173064486246,0.5043287793154827,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-09-13,2000-09-12,176,166,0,2,1,0.9414795887011811,0.4413783434910385,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-09-15,2000-09-14,178,168,2,0,2,0.4397699247193643,0.6913254210021078,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-09-18,2000-09-15,179,169,0,0,2,0.47977686876447884,0.7866981321264765,True,bear,bull,True,BULL_TO_BEAR,
2000-09-19,2000-09-18,180,170,1,1,2,1.0,0.3738479592822787,False,neutral,bear,True,BEAR_TO_NEUTRAL,
