decision_date,last_bar_used,n_bars,n_obs,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,confidence_pass,raw_decision,previous_raw_decision,decision_changed,transition_type,error
2000-03-17,2000-03-16,52,42,2,1,2,0.6774069416800013,0.968711512120323,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-03-20,2000-03-17,53,43,2,1,2,1.0,0.15382751756622834,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-03-22,2000-03-21,55,45,0,1,0,1.0,0.5191503572030206,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-03-28,2000-03-27,59,49,1,0,1,0.9988250202792179,0.19532483866233658,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-03-31,2000-03-30,62,52,0,0,1,0.44418099281818935,0.6911456731312898,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-04-03,2000-03-31,63,53,1,0,1,0.443225868714856,0.36688349259811753,False,neutral,bear,True,BEAR_TO_NEUTRAL,
2000-04-14,2000-04-13,72,62,0,0,1,0.46080465397142895,0.5176704167816171,True,bear,neutral,True,NEUTRAL_TO_BEAR,
2000-04-17,2000-04-14,73,63,1,0,1,0.9876877388992149,0.9996000596674315,True,bull,bear,True,BEAR_TO_BULL,
2000-04-20,2000-04-19,76,66,2,1,2,0.8286334428539341,0.2394966055969358,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-04-26,2000-04-25,79,69,1,2,1,0.3326991914687507,0.5041060150379594,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-04-27,2000-04-26,80,70,2,2,1,0.794512154750226,0.24939713951590678,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-05-01,2000-04-28,82,72,0,2,1,0.49893816631038657,0.5906121960088802,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-05-02,2000-05-01,83,73,2,2,1,0.9507420715219966,0.42307458949548976,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-05-03,2000-05-02,84,74,2,0,1,1.0,0.6187478520124858,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-05-04,2000-05-03,85,75,1,1,2,1.0,0.4634238580184647,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-05-08,2000-05-05,87,77,0,2,0,0.37919786431198416,0.6508484359270171,True,bull,neutral,True,NEUTRAL_TO_BULL,
2000-05-09,2000-05-08,88,78,2,2,0,0.5552421396864696,0.4732708704755408,False,neutral,bull,True,BULL_TO_NEUTRAL,
2000-05-12,2000-05-11,91,81,1,0,2,0.5097322175108085,0.5131720211669005,True,bull,neutral,True,NEUTRAL_TO_BULL,
