scenario,completed_phases,wins,losses,win_rate_pct,arithmetic_sum_result_pct,average_win_pct,average_loss_pct,median_result_pct,best_phase_result_pct,best_phase_entry_date,best_phase_exit_date,worst_phase_result_pct,worst_phase_entry_date,worst_phase_exit_date,open_unfinished_phase_entry_date,orphan_exits_excluded
reset_before_rebalance,88,38,50,43.18181818181818,-38.43929315386036,3.275069542592258,-3.257838715447323,-0.47727067813596524,14.781804422769707,2008-09-24,2008-10-13,-17.614625652930936,2009-03-06,2009-04-01,,1
rebalance_before_reset,97,41,56,42.2680412371134,-59.874666481824136,3.445171895554028,-3.5915484678489156,-0.4923393467318128,18.01558752997602,2020-03-03,2020-04-01,-17.614625652930936,2009-03-06,2009-04-01,,1
