series,n_transitions,n_bear_to_bull,n_bull_to_bear,median_holding_duration_trading_days,shortest_holding_duration_trading_days,false_flip_count,open_holding_start_date,open_holding_trading_days_so_far
HMM,11,5,6,47.0,9,1,2020-02-03,41
baseline,51,25,26,8.5,1,31,2020-02-25,26
