date,decision,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,n_bars_window,n_obs,last_volatility,last_return,error
2017-08-30,neutral,2,1,2,0.20028303729027652,0.3201978837455311,2718,2708,1.4790889999999917,0.11448665003884415,
2017-08-31,bull,0,1,2,0.9533011295270046,0.5158797619723019,2718,2708,1.07723599999999,0.4737594445578912,
2017-09-01,neutral,0,1,0,0.5786266199831204,0.48406933677839176,2718,2708,1.7829959999999958,0.6016015609121654,
2017-09-05,neutral,0,2,0,0.2363799631561071,0.5450813945798421,2718,2708,2.101569,0.14141985534768853,
2017-09-06,neutral,0,1,0,0.783316765911761,0.4202738525458864,2718,2708,1.5334010000000033,-0.7182052937378959,
2017-09-07,bull,0,1,0,0.6673246565272148,0.5302418985303138,2718,2708,1.6969210000000043,0.34138015118263976,
2017-09-08,bull,0,1,0,0.7000486527363148,0.5454593974059218,2718,2708,1.658344000000005,-0.012150668286756231,
2017-09-11,bull,0,1,0,0.9071641527348446,0.53982742691791,2718,2708,1.2654410000000091,-0.11747073358447442,
2017-09-12,neutral,0,1,0,0.6586555646148674,0.3297148201228662,2718,2708,1.7113760000000124,1.0665909643928928,
2017-09-13,neutral,0,1,0,0.19820821436845804,0.5309451551746199,2718,2708,2.1475840000000126,0.3370651257975215,
2017-09-14,neutral,0,1,0,0.13677466223072113,0.5466495458405723,2718,2708,2.2092959999999993,0.047990401919606525,
2017-09-15,neutral,2,1,0,0.960443855126546,0.3183661597476626,2718,2708,2.3137439999999936,-0.03197825478673865,
2017-09-18,neutral,1,2,0,0.9846500399907046,0.33641141456342594,2718,2708,2.3576039999999927,-0.35987044663921214,
2017-09-19,neutral,1,2,0,1.0,0.32108388909401553,2718,2708,2.504243999999992,0.21268911272523022,
2017-09-20,neutral,1,2,0,0.6201334255311728,0.31198135618986583,2718,2708,1.9846049999999902,0.10011212558065033,
2017-09-21,neutral,2,1,0,0.28355266311624144,0.31803522195988343,2718,2708,1.6351089999999915,0.036004320518463584,
2017-09-22,bull,0,1,0,0.9622047049237952,0.5225805340450212,2718,2708,1.036860999999993,-0.2679356954331024,
2017-09-25,bull,0,1,0,0.9999999910142842,0.5453393833071658,2718,2708,0.13538900000000045,0.02004891936325088,
2017-09-26,bull,0,1,0,0.9999997377483721,0.5305460607657038,2718,2708,0.17150900000000013,-0.20445798588838637,
2017-09-27,bull,0,2,0,0.9999992650549452,0.5460105491025268,2718,2708,0.1884839999999976,0.06025790382838777,
2017-09-28,bull,0,1,0,0.9999996449281511,0.5240358417401725,2718,2708,0.1761960000000001,0.38943311385900065,
2017-09-29,bull,0,1,0,0.9999980686212722,0.5456133467537011,2718,2708,0.2081759999999989,0.11997600479903338,
2017-10-02,bull,0,1,0,0.999721086090732,0.5291418560243667,2718,2708,0.4080959999999954,0.35150788895546053,
2017-10-03,bull,0,1,0,0.973067793582853,0.5173634429367275,2718,2708,0.9634559999999922,0.43386538231899197,
2017-10-04,bull,0,2,0,0.7103055765503741,0.5421842448967158,2718,2708,1.6504089999999991,0.21401395053900618,
2017-10-05,neutral,0,2,0,0.046514801693501494,0.5461574199209849,2718,2708,2.322488999999998,0.11864272720081583,
2017-10-06,neutral,0,1,2,0.9873977069369481,0.352466946243264,2718,2708,3.46133599999999,0.5925106651919735,
2017-10-09,neutral,1,2,0,0.9471182703254704,0.3208720997680355,2718,2708,3.90552899999999,-0.11387732663158409,
2017-10-10,neutral,2,1,0,0.9909193405402655,0.3229213749160244,2718,2708,3.391480999999989,-0.16511381059087782,
