portfolio_model,start_date,end_date,trading_days,start_close,end_close,return_pct,max_drawdown_pct,opening_raw_decision,opening_action,overlaps_order_uncertainty
FAMA_FRENCH,2000-03-15,2000-03-16,2,139.8125,146.34375,4.6714349575324094,0.0,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-03-17,2000-04-12,19,146.9375,146.28125,-0.44661846022968954,4.741554741554742,bull,APPLY_GROWTH,False
FAMA_FRENCH,2000-04-13,2000-04-18,4,144.25,144.46875,0.15164644714038128,5.719237435008666,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-04-19,2000-05-10,15,143.125,138.125,-3.4934497816593884,6.770723476059903,bull,APPLY_GROWTH,False
FAMA_FRENCH,2000-05-11,2000-05-31,14,141.28125,142.8125,1.0838310108383102,6.028973157221985,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-06-01,2000-06-08,6,145.3125,146.90625,1.096774193548387,0.9300359332065102,neutral,NONE,False
FAMA_FRENCH,2000-06-09,2000-06-30,16,146.59375,145.28125,-0.8953314858239182,2.883603451904862,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-07-03,2000-07-28,19,147.28125,142.09375,-3.5221727137704226,6.053719008264462,neutral,NONE,False
FAMA_FRENCH,2000-07-31,2000-07-31,1,143.0,143.0,0.0,0.0,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-08-01,2000-09-15,33,143.875,146.0,1.4769765421372718,4.2622950819672125,neutral,NONE,True
FAMA_FRENCH,2000-09-18,2000-09-29,10,144.65625,143.625,-0.712896953985742,2.440590879897238,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-10-02,2000-10-10,7,143.84375,137.6875,-4.279817510319357,4.508019072388383,neutral,NONE,False
FAMA_FRENCH,2000-10-11,2000-10-31,15,136.53125,142.95313,4.703597161821918,3.0020013342228156,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-11-01,2000-11-22,16,142.46875,132.14063,-7.249393288001764,8.096062595088032,neutral,NONE,False
FAMA_FRENCH,2000-11-24,2000-11-30,5,134.84375,132.28125,-1.9003476245654694,2.7567195037904892,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-12-01,2000-12-15,11,132.21875,130.96875,-0.9454029780193808,5.522993688007214,neutral,NONE,False
FAMA_FRENCH,2000-12-18,2000-12-22,5,132.71875,130.9375,-1.342123852130916,4.874028726159642,bear,APPLY_FAMA_FRENCH,False
GROWTH,2000-12-26,2000-12-29,4,132.34375,131.1875,-0.8736717827626919,1.8929656461790136,bull,APPLY_GROWTH,False
FAMA_FRENCH,2001-01-02,2001-01-25,17,128.8125,136.03125,5.604075691411936,4.305555555555555,bear,APPLY_FAMA_FRENCH,True
GROWTH,2001-01-26,2001-07-16,118,135.875,120.71,-11.160993560257594,19.966643947411296,bull,APPLY_GROWTH,False
FAMA_FRENCH,2001-07-17,2001-07-17,1,121.84,121.84,0.0,0.0,bear,APPLY_FAMA_FRENCH,False
GROWTH,2001-07-18,2001-08-23,27,121.01,116.6,-3.6443269151309896,5.537884348748068,bull,APPLY_GROWTH,False
FAMA_FRENCH,2001-08-24,2001-08-31,6,119.02,114.15,-4.091749285834306,4.789111073769117,bear,APPLY_FAMA_FRENCH,False
GROWTH,2001-09-04,2001-12-13,68,113.42,112.06,-1.1990830541350728,14.4415127528584,neutral,NONE,False
FAMA_FRENCH,2001-12-14,2001-12-31,11,113.13,114.3,1.0342084327764534,1.5164570049974195,bear,APPLY_FAMA_FRENCH,False
GROWTH,2002-01-02,2004-07-19,640,115.53,110.24,-4.578897256123956,33.59972793742562,neutral,NONE,False
FAMA_FRENCH,2004-07-20,2004-07-30,9,111.64,110.84,-0.7165890361877438,2.588677893228234,bear,APPLY_FAMA_FRENCH,False
GROWTH,2004-08-02,2004-08-12,9,111.07,106.98,-3.682362474115413,3.7994057801386503,neutral,NONE,False
FAMA_FRENCH,2004-08-13,2004-08-31,13,107.19,111.11,3.6570575613396787,0.8254822790489024,bear,APPLY_FAMA_FRENCH,False
GROWTH,2004-09-01,2005-03-11,133,111.32,120.39,8.14768235716853,4.2029996512033545,neutral,NONE,False
FAMA_FRENCH,2005-03-14,2005-03-31,13,121.14,117.96,-2.625061911837549,3.805514280997193,bear,APPLY_FAMA_FRENCH,False
GROWTH,2005-04-01,2006-02-07,216,117.43,125.48,6.855147747594309,5.845093008338672,neutral,NONE,False
FAMA_FRENCH,2006-02-08,2006-02-28,14,126.62,128.23,1.2715210867161468,0.9501080681208206,bear,APPLY_FAMA_FRENCH,False
GROWTH,2006-03-01,2006-07-05,88,129.37,127.07,-1.7778464868207555,7.59312320916906,neutral,NONE,False
FAMA_FRENCH,2006-07-06,2006-07-31,18,127.44,127.85,0.3217200251098529,3.217200251098552,bear,APPLY_FAMA_FRENCH,False
GROWTH,2006-08-01,2007-07-26,248,127.22,148.02,16.34963056123252,5.969740535359758,neutral,NONE,False
