trade_index,entry_date,exit_date,trade_result_pct,leveraged_return_pct,equity_before,equity_after,wipeout_trigger
0,2000-03-17,2000-04-13,-1.8290089323692027,-3.292216078264565,100.0,96.70778392173544,False
1,2000-04-19,2000-05-11,-1.288209606986901,-2.3187772925764216,96.70778392173544,94.46534578800437,False
2,2000-06-01,2000-06-09,0.8817204301075243,1.5870967741935436,94.46534578800437,95.96460224373658,False
3,2000-07-03,2000-07-31,-2.906853384256314,-5.232336091661365,95.96460224373658,90.94341172531828,False
4,2000-08-01,2000-09-18,0.543006081668107,0.9774109470025928,90.94341172531828,91.83230258709918,False
5,2000-10-02,2000-10-11,-5.083641103628067,-9.150553986530522,91.83230258709918,83.42913816179261,False
6,2000-11-01,2000-11-24,-5.352050888352711,-9.63369159903488,83.42913816179261,75.39183228755279,False
7,2000-12-01,2000-12-18,0.3781611912077487,0.6806901441739477,75.39183228755279,75.90501705944632,False
8,2000-12-26,2001-01-02,-2.6682408500590338,-4.802833530106261,75.90501705944632,72.25942544908236,False
9,2001-01-26,2001-07-17,-10.329346826126953,-18.592824287028517,72.25942544908236,58.82435744451811,False
10,2001-07-18,2001-08-24,-1.644492190728042,-2.960085943310476,58.82435744451811,57.08310590856022,False
11,2001-09-04,2001-12-14,-0.2556868277199808,-0.46023628989596543,57.08310590856022,56.82038873976928,False
12,2002-01-02,2004-07-20,-3.3670907989266863,-6.060763438068036,56.82038873976928,53.376639393661215,False
13,2004-08-02,2004-08-13,-3.4932925182317387,-6.28792653281713,53.376639393661215,50.02035552290107,False
14,2004-09-01,2005-03-14,8.821415738411797,15.878548329141234,50.02035552290107,57.96286184901319,False
15,2005-04-01,2006-02-08,7.825938857191517,14.08668994294473,57.96286184901319,66.12791047974108,False
16,2006-03-01,2006-07-06,-1.4918450954626294,-2.685321171832733,66.12791047974108,64.35216369913799,False
17,2006-08-01,2007-07-27,14.06225436252162,25.312057852538917,64.35216369913799,80.64102060402435,False
18,2007-08-01,2007-08-06,-0.1502424366591537,-0.2704363859864767,80.64102060402435,80.42293794228021,False
19,2007-09-04,2007-10-22,0.9793399517037616,1.762811913066771,80.42293794228021,81.84064307316503,False
20,2007-11-01,2007-11-08,-2.5624048202343985,-4.612328676421917,81.84064307316503,78.06588362373333,False
21,2007-11-29,2007-12-06,2.5546949313765444,4.59845087647778,78.06588362373333,81.65570493345902,False
22,2008-01-02,2008-01-09,-3.1463465121092997,-5.66342372179674,81.65570493345902,77.03119637005716,False
23,2008-02-21,2008-03-07,-3.768825580532664,-6.783886044958795,77.03119637005716,71.80548778924404,False
24,2008-03-19,2008-03-20,1.3505217925107615,2.4309392265193708,71.80548778924404,73.55103555870636,False
25,2008-04-01,2008-04-02,0.0658809750384126,0.11858575506914268,73.55103555870636,73.63825660958481,False
26,2008-04-14,2008-05-21,4.934928157676977,8.882870683818558,73.63825660958481,80.17944771803272,False
27,2008-06-02,2008-06-27,-8.077753779697627,-14.539956803455729,80.17944771803272,68.5213906545814,False
28,2008-07-01,2008-07-03,-1.6664071016975424,-2.9995327830555762,68.5213906545814,66.46606907849164,False
29,2008-08-01,2008-09-16,-3.1720856463124503,-5.709754163362411,66.46606907849164,62.67101993205913,False
30,2008-09-23,2008-09-24,0.3205398566005879,0.5769717418810583,62.67101993205913,63.03261400741575,False
31,2008-10-13,2008-10-16,-7.479033053774053,-13.462259496793298,63.03261400741575,54.54699994212537,False
32,2008-10-29,2008-10-31,4.028792436613671,7.251826385904607,54.54699994212537,58.50265367664778,False
33,2008-11-03,2008-11-06,-6.436000411904031,-11.584800741427255,58.50265367664778,51.72523781976087,False
34,2008-11-10,2008-11-12,-7.35182986073627,-13.233293749325286,51.72523781976087,44.88028515653481,False
35,2008-12-01,2008-12-02,3.848495920107165,6.927292656192898,44.88028515653481,47.989273854261874,False
36,2008-12-08,2008-12-09,-1.6483516483516536,-2.9670329670329765,47.989273854261874,46.565416278366186,False
37,2009-01-02,2009-01-08,-2.063253012048183,-3.713855421686729,46.565416278366186,44.83604404128109,False
38,2009-02-02,2009-02-24,-6.175829498667951,-11.116493097602312,44.83604404128109,39.85184830019415,False
39,2009-03-03,2009-03-06,-1.6412159269301951,-2.9541886684743512,39.85184830019415,38.67454951353222,False
40,2009-04-01,2009-05-07,12.089810017271162,21.761658031088093,38.67454951353222,47.09077272373094,False
41,2009-05-26,2010-05-11,26.86746987951807,48.361445783132524,47.09077272373094,69.86455124337624,False
42,2010-06-01,2010-07-08,-0.3440900213893871,-0.6193620385008968,69.86455124337624,69.43183673460577,False
43,2010-08-02,2011-08-04,6.651294785384887,11.972330613692797,69.43183673460577,77.74444577963219,False
44,2011-09-01,2011-09-06,-3.2660823548867235,-5.878948238796102,77.74444577963219,73.17389005370872,False
45,2012-01-03,2014-02-04,37.56225734342522,67.6120632181654,73.17389005370872,122.64826685601311,False
46,2014-02-26,2014-10-22,4.241276710846642,7.634298079523956,122.64826685601311,132.01160113717114,False
47,2014-11-03,2014-12-18,2.4830252267433077,4.469445408137954,132.01160113717114,137.91178758240585,False
48,2015-01-02,2015-08-24,-7.73012705057684,-13.914228691038314,137.91178758240585,118.72242606629092,False
49,2015-09-01,2015-09-02,1.898107107472491,3.416592793450483,118.72242606629092,122.77868791948138,False
50,2015-10-01,2016-01-08,-0.1077395513454426,-0.19393119242179668,122.77868791948138,122.5405817459593,False
51,2016-02-01,2016-02-16,-1.998450813323005,-3.597211463981409,122.5405817459593,118.13253789136414,False
52,2016-03-01,2018-02-05,33.223966483266864,59.80313966988036,118.13253789136414,188.77950452211095,False
53,2018-03-01,2018-03-23,-3.6047814717967808,-6.488606649234206,188.77950452211095,176.53034503929788,False
54,2018-04-02,2018-04-03,1.281702722647271,2.307064900765088,176.53034503929788,180.60301466889902,False
55,2018-05-01,2018-10-11,2.71341233300626,4.884142199411268,180.60301466889902,189.42392272175164,False
56,2018-11-01,2018-11-08,2.555665240759031,4.600197433366255,189.42392272175164,198.13779715297935,False
57,2018-12-03,2018-12-06,-3.3870390261367844,-6.096670247046212,198.13779715297935,186.05798902580088,False
58,2019-01-02,2019-01-04,0.8833639779358693,1.5900551602845647,186.05798902580088,189.0164136814273,False
59,2019-02-01,2019-05-14,4.93964304228689,8.891357476116402,189.0164136814273,205.822538710378,False
60,2019-06-03,2019-06-05,3.055687074334412,5.500236733801941,205.822538710378,217.14326559096992,False
61,2019-07-01,2019-08-06,-2.6584590407901065,-4.785226273422192,217.14326559096992,206.75246899494388,False
62,2019-09-03,2020-02-03,11.48104835935888,20.665887046845985,206.75246899494388,249.47970070400424,False
63,2020-03-02,2020-03-03,-2.863243715422681,-5.1538386877608255,249.47970070400424,236.62191937101136,False
64,2020-04-01,2020-04-02,2.307536055250869,4.153564899451564,236.62191937101136,246.45016435841424,False
65,2020-05-01,2020-05-04,0.2758230489055435,0.49648148802997827,246.45016435841424,247.67374380167325,False
66,2020-06-01,2020-06-08,5.776468663066603,10.397643593519886,247.67374380167325,273.4259769568988,False
67,2020-07-01,2020-09-04,10.32139636738374,18.578513461290733,273.4259769568988,324.22445889250196,False
68,2020-10-01,2020-10-29,-2.094706859719919,-3.7704723474958546,324.22445889250196,311.9996653261421,False
69,2020-11-02,2020-11-05,6.069049061175047,10.924288310115084,311.9996653261421,346.08340829296407,False
70,2020-12-01,2021-02-01,2.789465056554308,5.021037101797755,346.08340829296407,363.46038462652,False
71,2021-03-01,2021-03-02,-0.7803275322141756,-1.404589557985516,363.46038462652,358.3552580166419,False
72,2021-04-01,2021-05-13,2.413818926137634,4.3448740670477415,358.3552580166419,373.925342690109,False
73,2021-06-01,2021-09-29,3.521814759215558,6.339266566588004,373.925342690109,397.6294669232627,False
74,2021-10-01,2021-12-01,3.7444731024318223,6.740051584377279,397.6294669232627,424.429898108575,False
75,2022-01-03,2022-01-06,-2.0451738502438643,-3.6813129304389554,424.429898108575,408.8053053888552,False
76,2022-02-01,2022-02-14,-3.0753946351694483,-5.535710343305007,408.8053053888552,386.17502781446467,False
77,2022-03-01,2022-03-08,-3.193171775431425,-5.747709195776565,386.17502781446467,363.97881022897997,False
78,2022-04-01,2022-04-25,-5.389472754570345,-9.701050958226622,363.97881022897997,328.66904037151966,False
79,2022-06-01,2022-06-10,-4.831660929221893,-8.696989672599408,328.66904037151966,300.084727873377,False
80,2022-07-01,2022-07-20,3.548945546112669,6.388101983002804,300.084727873377,319.2544463253448,False
81,2022-08-01,2022-08-11,2.244565085084127,4.040217153151429,319.2544463253448,332.15301922798005,False
82,2022-09-01,2022-09-14,-0.4591090257807351,-0.8263962464053232,332.15301922798005,329.4081191447581,False
83,2022-10-03,2022-10-04,3.0986607021085133,5.577589263795324,329.4081191447581,347.7811510322462,False
84,2022-11-01,2022-11-03,-3.5134713408925378,-6.324248413606568,347.7811510322462,325.78660710526674,False
85,2023-01-03,2023-02-22,4.653116958142967,8.375610524657342,325.78660710526674,353.0732244578995,False
86,2023-03-01,2023-11-03,10.120585701981044,18.21705426356588,353.0732244578995,417.39276534751684,False
87,2023-12-01,2024-07-25,17.275103463297746,31.095186233935944,417.39276534751684,547.1818230593025,False
88,2024-08-01,2024-08-05,-4.719986740575677,-8.49597613303622,547.1818230593025,500.6933859678717,False
89,2024-09-03,2024-11-01,3.434284886248351,6.181712795247032,500.6933859678717,531.6448130732033,False
90,2024-12-02,2024-12-19,-2.9040968805393974,-5.227374384970916,531.6448130732033,503.85374829558816,False
91,2025-01-02,2025-03-11,-4.912424740010957,-8.842364532019722,503.85374829558816,459.30116316304714,False
92,2025-04-01,2025-04-04,-9.927447100557972,-17.86940478100435,459.30116316304714,377.226779153581,False
93,2025-05-01,2025-05-13,5.079950579261205,9.14391104267017,377.226779153581,411.72006026851426,False
94,2025-06-02,2025-10-13,11.865836581127343,21.358505846029217,411.72006026851426,499.65731341023996,False
95,2025-11-03,2026-01-21,0.3014604735563475,0.5426288524014254,499.65731341023996,502.3685981559377,False
96,2026-02-02,2026-02-09,-0.2099480881781912,-0.37790655872074413,502.3685981559377,500.470114274553,False
