date,position_open,entry_date,entry_price,spy_close,underlying_return_from_entry_pct,leveraged_return_from_entry_pct,equity,running_peak,drawdown_pct,exit_reason
2000-03-17,True,2000-03-17,146.9375,146.9375,0.0,0.0,100.0,100.0,0.0,
2000-03-20,True,2000-03-17,146.9375,146.1875,-0.5104210974053558,-0.9187579753296404,99.08124202467036,100.0,-0.9187579753296427,
2000-03-21,True,2000-03-17,146.9375,149.1875,1.5312632922160674,2.7562739259889213,102.75627392598892,102.75627392598892,0.0,
2000-03-22,True,2000-03-17,146.9375,150.09375,2.148022118247561,3.86643981284561,103.8664398128456,103.8664398128456,0.0,
2000-03-23,True,2000-03-17,146.9375,152.65625,3.89196086771586,7.005529561888548,107.00552956188855,107.00552956188855,0.0,
2000-03-24,True,2000-03-17,146.9375,153.5625,4.508719693747332,8.115695448745198,108.1156954487452,108.1156954487452,0.0,
2000-03-27,True,2000-03-17,146.9375,151.9375,3.4028073160357275,6.1250531688643095,106.12505316886431,108.1156954487452,-1.841214887087883,
2000-03-28,True,2000-03-17,146.9375,151.0625,2.807316035729479,5.053168864313062,105.05316886431307,108.1156954487452,-2.8326382878275047,
2000-03-29,True,2000-03-17,146.9375,151.21875,2.913653764355595,5.244576775840071,105.24457677584007,108.1156954487452,-2.6555983948382877,
2000-03-30,True,2000-03-17,146.9375,148.6875,1.1909825606124969,2.1437686091024943,102.14376860910251,108.1156954487452,-5.52364466126366,
2000-03-31,True,2000-03-17,146.9375,150.375,2.3394300297745696,4.210974053594225,104.21097405359423,108.1156954487452,-3.611613816980064,
2000-04-03,True,2000-03-17,146.9375,151.25,2.934921310080818,5.282858358145472,105.28285835814548,108.1156954487452,-2.620190416240442,
2000-04-04,True,2000-03-17,146.9375,150.125,2.1692896639727843,3.904721395151012,103.90472139515101,108.1156954487452,-3.8948776457628176,
2000-04-05,True,2000-03-17,146.9375,149.1875,1.5312632922160674,2.7562739259889213,102.75627392598892,108.1156954487452,-4.957117003698174,
2000-04-06,True,2000-03-17,146.9375,150.48438,2.4138698426201532,4.344965716716276,104.34496571671627,108.1156954487452,-3.4876802266110674,
2000-04-07,True,2000-03-17,146.9375,151.4375,3.062526584432157,5.5125478519778826,105.51254785197787,108.1156954487452,-2.4077425446533907,
2000-04-10,True,2000-03-17,146.9375,150.84375,2.658443215652917,4.7851977881752505,104.78519778817525,108.1156954487452,-3.080494138012413,
2000-04-11,True,2000-03-17,146.9375,150.40625,2.3606975754997928,4.249255635899627,104.24925563589962,108.1156954487452,-3.5762058383822404,
2000-04-12,True,2000-03-17,146.9375,146.28125,-0.4466184602296863,-0.8039132284134354,99.19608677158656,108.1156954487452,-8.250059013297651,
2000-04-13,True,2000-03-17,146.9375,144.25,-1.8290089323692027,-3.292216078264565,96.70778392173544,108.1156954487452,-10.551577622157504,RAW_DECISION
2000-04-14,False,,,136.0,,,96.70778392173544,108.1156954487452,-10.551577622157504,
2000-04-17,False,,,140.75,,,96.70778392173544,108.1156954487452,-10.551577622157504,
2000-04-18,False,,,144.46875,,,96.70778392173544,108.1156954487452,-10.551577622157504,
2000-04-19,True,2000-04-19,143.125,143.125,0.0,0.0,96.70778392173544,108.1156954487452,-10.551577622157504,
2000-04-20,True,2000-04-19,143.125,143.8125,0.4803493449781593,0.8646288209606867,97.54394729363514,108.1156954487452,-9.778180782384037,
2000-04-24,True,2000-04-19,143.125,142.25,-0.6113537117903967,-1.100436681222714,95.64357599386307,108.1156954487452,-11.535900872778305,
2000-04-25,True,2000-04-19,143.125,148.15625,3.5152838427947586,6.3275109170305655,102.82697950700158,108.1156954487452,-4.891718931087907,
2000-04-26,True,2000-04-19,143.125,146.48438,2.347165065502166,4.2248971179038985,100.79358829743357,108.1156954487452,-6.772473803105528,
2000-04-27,True,2000-04-19,143.125,146.0,2.008733624454151,3.6157205240174717,100.20446711331608,108.1156954487452,-7.317372655832033,
2000-04-28,True,2000-04-19,143.125,145.09375,1.3755458515283925,2.4759825327511065,99.10225175944828,108.1156954487452,-8.3368503082607,
2000-05-01,True,2000-04-19,143.125,147.0625,2.7510917030567628,4.951965065502173,101.4967195971611,108.1156954487452,-6.122122994363921,
2000-05-02,True,2000-04-19,143.125,144.125,0.6986899563318882,1.2576419213973988,97.9240215535896,108.1156954487452,-9.426636764305151,
2000-05-03,True,2000-04-19,143.125,140.75,-1.6593886462882068,-2.9868995633187723,93.81921954608187,108.1156954487452,-13.22331215955681,
2000-05-04,True,2000-04-19,143.125,141.8125,-0.917030567685595,-1.650655021834071,95.11147202992687,108.1156954487452,-12.02806249808871,
2000-05-05,True,2000-04-19,143.125,143.53125,0.28384279475981433,0.5109170305676658,97.20188045967618,108.1156954487452,-10.094570398655001,
2000-05-08,True,2000-04-19,143.125,142.45313,-0.4694288209607045,-0.8449718777292681,95.89063034402159,108.1156954487452,-11.307391636322773,
2000-05-09,True,2000-04-19,143.125,141.3125,-1.266375545851528,-2.2794759825327504,94.50335321399982,108.1156954487452,-12.590532927014875,
2000-05-10,True,2000-04-19,143.125,138.125,-3.4934497816593857,-6.288209606986895,90.62659576246475,108.1156954487452,-16.17628191141921,
2000-05-11,True,2000-04-19,143.125,141.28125,-1.288209606986901,-2.3187772925764216,94.46534578800437,108.1156954487452,-12.625687328822766,RAW_DECISION
2000-05-12,False,,,142.8125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-15,False,,,145.28125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-16,False,,,146.6875,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-17,False,,,145.15625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-18,False,,,143.375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-19,False,,,141.125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-22,False,,,140.0625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-23,False,,,138.0,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-24,False,,,140.25,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-25,False,,,137.84375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-26,False,,,138.0,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-30,False,,,142.5,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-05-31,False,,,142.8125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-01,False,,,145.3125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-02,False,,,147.84375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-05,False,,,147.125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-06,False,,,146.46875,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-07,False,,,147.48438,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-08,False,,,146.90625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-09,False,,,146.59375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-12,False,,,144.875,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-13,False,,,147.59375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-14,False,,,147.84375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-15,False,,,148.15625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-16,False,,,146.59375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-19,False,,,148.46875,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-20,False,,,147.9375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-21,False,,,147.875,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-22,False,,,145.625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-23,False,,,144.375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-26,False,,,146.23438,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-27,False,,,145.15625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-28,False,,,145.5625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-29,False,,,144.1875,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-06-30,False,,,145.28125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-03,False,,,147.28125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-05,False,,,144.625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-06,False,,,145.75,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-07,False,,,148.09375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-10,False,,,147.84375,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-11,False,,,148.15625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-12,False,,,149.125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-13,False,,,149.78125,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-14,False,,,151.25,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-17,False,,,151.0,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-18,False,,,149.76563,,,94.46534578800437,108.1156954487452,-12.625687328822766,
2000-07-19,False,,,148.5625,,,94.46534578800437,108.1156954487452,-12.625687328822766,
