date,return_1d,volatility_10d,vol_threshold,decision
2017-08-30,0.11448665003884415,1.4790889999999919,1.2100485000000025,neutral
2017-08-31,0.4737594445578912,1.0772359999999903,1.2100485000000025,bull
2017-09-01,0.6016015609121654,1.7829959999999958,1.2396625000000001,neutral
2017-09-05,0.14141985534768853,2.101569,1.2716270000000052,neutral
2017-09-06,-0.7182052937378959,1.533401000000003,1.2813605000000043,bear
2017-09-07,0.34138015118263976,1.6969210000000043,1.3046500000000028,neutral
2017-09-08,-0.012150668286756231,1.658344000000005,1.3310440000000003,bear
2017-09-11,-0.11747073358447442,1.2654410000000094,1.3310440000000003,neutral
2017-09-12,1.0665909643928928,1.7113760000000124,1.3310440000000003,neutral
2017-09-13,0.3370651257975215,2.1475840000000126,1.3310440000000003,neutral
2017-09-14,0.047990401919606525,2.2092959999999993,1.3310440000000003,neutral
2017-09-15,-0.03197825478673865,2.3137439999999936,1.3310440000000003,bear
2017-09-18,-0.35987044663921214,2.357603999999993,1.3310440000000003,bear
2017-09-19,0.21268911272523022,2.504243999999992,1.3310440000000003,neutral
2017-09-20,0.10011212558065033,1.9846049999999906,1.3310440000000003,neutral
2017-09-21,0.036004320518463584,1.6351089999999915,1.3310440000000003,neutral
2017-09-22,-0.2679356954331024,1.0368609999999927,1.3046500000000028,neutral
2017-09-25,0.02004891936325088,0.13538900000000048,1.2813605000000043,bull
2017-09-26,-0.20445798588838637,0.1715090000000001,1.2731130000000084,neutral
2017-09-27,0.06025790382838777,0.18848399999999765,1.2639550000000062,bull
2017-09-28,0.38943311385900065,0.1761960000000001,1.2396625000000001,bull
2017-09-29,0.11997600479903338,0.2081759999999989,1.2100485000000025,bull
2017-10-02,0.35150788895546053,0.4080959999999954,1.1989985000000036,bull
2017-10-03,0.43386538231899197,0.9634559999999924,1.1942824999999984,bull
2017-10-04,0.21401395053900618,1.6504089999999993,1.1989985000000036,neutral
2017-10-05,0.11864272720081583,2.3224889999999982,1.2100485000000025,neutral
2017-10-06,0.5925106651919735,3.46133599999999,1.2396625000000001,neutral
2017-10-09,-0.11387732663158409,3.90552899999999,1.2639550000000062,bear
2017-10-10,-0.16511381059087782,3.391480999999989,1.2731130000000084,bear
2017-10-11,0.26383146288640125,2.6934409999999995,1.2813605000000043,neutral
2017-10-12,0.15709685020815556,2.225764000000011,1.3046500000000028,neutral
2017-10-13,-0.14900792094738605,1.3905010000000053,1.3310440000000003,bear
2017-10-16,0.12174049638705713,0.8109249999999987,1.3310440000000003,bull
2017-10-17,0.1333594822514232,0.5742159999999954,1.3040745000000058,bull
2017-10-18,0.07050804966900656,0.408481000000001,1.2731130000000084,bull
2017-10-19,0.09785884839707205,0.2543690000000013,1.2639550000000062,bull
2017-10-20,0.02737368997340575,0.32205600000000045,1.2396625000000001,bull
2017-10-23,0.5160483208882372,0.6623640000000083,1.2396625000000001,bull
2017-10-24,-0.3889385865971763,0.5180760000000078,1.2396625000000001,neutral
2017-10-25,0.17570575143492584,0.5262240000000091,1.2396625000000001,bull
2017-10-26,-0.49501091362644617,0.4979010000000111,1.2396625000000001,neutral
2017-10-27,0.129264757726512,0.3779490000000083,1.2396625000000001,bull
2017-10-30,0.8176199045458004,0.5993009999999991,1.2396625000000001,bull
2017-10-31,-0.3725117380000697,0.564260999999998,1.2396625000000001,neutral
