scenario,completed_phases,wins,losses,win_rate_pct,arithmetic_sum_result_pct,average_win_pct,average_loss_pct,median_result_pct,best_phase_result_pct,best_phase_entry_date,best_phase_exit_date,worst_phase_result_pct,worst_phase_entry_date,worst_phase_exit_date,open_unfinished_phase_entry_date,orphan_exits_excluded
reset_before_rebalance,88,38,50,43.18181818181818,-38.439293153860376,3.2750695425922585,-3.257838715447324,-0.4772706781359659,14.781804422769707,2008-09-24,2008-10-13,-17.614625652930926,2009-03-06,2009-04-01,,1
rebalance_before_reset,97,41,56,42.2680412371134,-59.87466648182411,3.445171895554028,-3.5915484678489156,-0.4923393467318071,18.015587529976017,2020-03-03,2020-04-01,-17.614625652930926,2009-03-06,2009-04-01,,1
